Fecha;Total Dosis 1;Total Dosis 2;1era Dosis Sinovac;2da Dosis Sinovac;1era Dosis Pfizer;2da Dosis Pfizer;1era Dosis Astrazeneca;2da Dosis Astrazeneca;Montevideo Dosis 1;Montevideo Dosis 2;Artigas Dosis 1;Artigas Dosis 2;Canelones Dosis 1;Canelones Dosis 2;Cerro Largo Dosis 1;Cerro Largo Dosis 2;Colonia Dosis 1;Colonia Dosis 2;Durazno Dosis 1;Durazno Dosis 2;Flores Dosis 1;Flores Dosis 2;Florida Dosis 1;Florida Dosis 2;Lavalleja Dosis 1;Lavalleja Dosis 2;Maldonado Dosis 1;Maldonado Dosis 2;Paysandú Dosis 1;Paysandú Dosis 2;Río Negro Dosis 1;Río Negro Dosis 2;Rivera Dosis 1;Rivera Dosis 2;Rocha Dosis 1;Rocha Dosis 2;Salto Dosis 1;Salto Dosis 2;San José Dosis 1;San José Dosis 2;Soriano Dosis 1;Soriano Dosis 2;Tacuarembó Dosis 1;Tacuarembó Dosis 2;Treinta y Tres Dosis 1;Treinta y Tres Dosis 2;Departamento Sin Datos;Rango 12-14 Dosis 1;Rango 12-14 Dosis 2;Rango 15-19 Dosis 1;Rango 15-19 Dosis 2;Rango 20-24 Dosis 1;Rango 20-24 Dosis 2;Rango 25-34 Dosis 1;Rango 25-34 Dosis 2;Rango 35-44 Dosis 1;Rango 35-44 Dosis 2;Rango 45-54 Dosis 1;Rango 45-54 Dosis 2;Rango 55-64 Dosis 1;Rango 55-64 Dosis 2;Rango 65-74 Dosis 1;Rango 65-74 Dosis 2;Rango Mayor 75 Dosis 1;Rango Mayor 75 Dosis 2;Rango Sin Datos
23/7/2021;22857;15461;252;5988;22605;8816;0;657;4723;3944;1116;472;2849;3502;456;570;1470;904;576;89;306;111;520;227;704;270;1130;1618;1151;428;582;194;1135;394;1104;382;1229;685;1024;474;1138;201;1091;800;509;162;78;4813;1692;5138;4733;2720;2245;4649;2281;2490;1368;1490;892;809;644;449;776;299;830;0
22/7/2021;13640;13259;163;5816;13475;6856;2;587;4585;3010;62;459;3020;3755;165;349;413;431;52;79;12;123;171;119;52;105;1177;1736;78;119;510;211;705;395;59;381;1747;337;77;258;84;360;552;797;67;187;100;2226;1151;3199;4236;1958;2384;2756;1678;1953;1038;669;801;515;550;217;647;147;774;0
21/7/2021;12192;11154;167;4431;12023;6025;2;698;4499;3641;70;391;3356;2371;914;93;121;395;59;125;7;89;117;220;41;128;180;1124;156;321;45;171;74;391;225;364;2092;336;56;245;18;26;82;590;46;89;78;1203;700;1617;3531;1522;1900;3920;1740;2464;921;575;656;323;462;335;587;233;657;0
20/7/2021;9709;15510;108;7123;9601;7611;0;776;4449;4100;383;780;2132;3608;186;533;55;583;40;81;11;102;37;70;35;306;870;503;274;1638;43;371;46;336;27;159;874;843;46;569;19;39;115;738;40;109;69;818;710;1882;3595;989;2044;2736;3148;2088;2151;635;1297;289;836;146;890;126;838;1
19/7/2021;9052;21377;245;11852;8806;8618;1;907;4477;4711;76;955;1891;3481;53;1100;49;1813;35;256;8;111;87;493;27;55;843;818;107;447;76;246;61;1149;79;780;793;1474;53;1243;92;637;163;1199;48;301;142;309;958;1078;3496;1149;2588;2523;4533;2288;3585;867;2574;355;1378;223;1142;260;1123;0
18/7/2021;0;13;0;9;0;3;0;1;0;4;0;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;1;0;3;0;0;0;3;0;0;0
17/7/2021;1806;4836;11;567;1795;4269;0;0;720;2521;2;10;753;533;1;7;15;274;2;6;2;3;3;5;3;6;15;20;3;5;0;2;6;17;72;585;62;210;122;567;7;22;8;18;2;5;28;60;634;56;1182;558;542;450;821;365;505;216;427;60;266;27;207;14;252;0
16/7/2021;13208;34492;111;4243;13042;15725;55;14524;7051;8587;101;970;2546;9468;151;1034;228;980;69;514;23;422;43;579;40;250;657;870;814;1163;82;917;52;1291;101;1807;176;1882;569;1368;230;749;99;1243;148;207;219;1260;2297;1702;6860;2204;2579;4151;3430;1993;1843;973;1314;419;1979;269;7486;237;6704;0
15/7/2021;18248;27373;156;130;18033;8663;59;18580;11355;4077;77;614;3314;8125;85;1253;459;578;40;152;17;14;93;386;141;119;867;422;84;2539;63;1085;46;2335;42;1916;317;1779;906;511;59;119;170;1077;64;128;193;4434;737;2704;1676;1800;1475;3022;2197;3048;879;1667;681;640;1216;545;8341;387;10171;1
14/7/2021;22801;20680;323;3269;22476;17401;2;10;9549;7183;706;408;4223;3211;844;239;521;917;188;333;14;369;540;663;448;191;655;509;759;967;772;314;774;805;550;713;1009;1529;975;566;140;848;90;720;34;101;104;2599;1954;7384;8460;3640;2475;3244;3923;2946;1396;1806;1095;405;553;419;430;357;393;2
